Age,Minutes,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,BPM,Availability%,Salary%
34,2989,0.584,6.4,21.8,1.5,1.5,7.7,25.8,1.8,96.34,17.27
27,2928,0.637,21.4,33.9,1.2,1.5,17.9,22.2,6.5,100.0,19.93
23,2881,0.57,6.9,20.8,0.9,0.6,11.1,22.7,-0.7,96.34,6.71
27,2854,0.56,7.1,16.3,1.4,0.9,10.3,24.3,-0.4,100.0,14.0
21,2799,0.546,11.6,25.2,1.3,1.6,13.0,29.7,1.3,97.56,8.75
35,2791,0.626,10.0,22.2,1.2,2.9,13.1,29.0,4.0,91.46,24.58
27,2783,0.555,8.1,27.9,1.9,0.8,11.3,26.6,1.7,95.12,11.44
22,2770,0.575,8.8,24.6,1.8,1.3,11.9,32.3,3.3,96.34,5.54
28,2737,0.65,19.8,42.0,2.0,2.1,12.9,29.3,13.2,96.34,26.31
27,2726,0.592,5.7,33.5,1.3,0.4,9.1,32.5,5.8,93.9,15.97
28,2707,0.522,14.0,16.3,1.4,0.8,13.9,13.5,0.0,98.78,7.85
30,2700,0.621,19.8,15.5,1.6,5.7,9.5,26.7,5.1,92.68,23.9
29,2684,0.568,5.6,31.1,1.8,2.0,10.1,19.7,3.4,89.02,27.32
26,2659,0.567,7.2,25.2,2.7,1.1,10.1,31.0,2.7,90.24,21.23
29,1354,0.6,10.0,22.1,1.1,0.7,10.3,25.3,1.4,47.56,23.24
29,1303,0.602,13.9,16.5,1.1,0.9,7.4,25.2,2.5,50.0,25.48
25,2645,0.604,12.3,21.0,1.4,1.4,10.3,30.2,5.1,90.24,17.44
25,2629,0.613,7.4,23.5,1.2,0.8,14.1,20.3,0.4,100.0,7.07
23,2626,0.573,5.4,26.7,1.3,1.1,6.8,28.0,3.1,85.37,2.61
24,2624,0.617,13.5,44.3,1.8,1.3,12.8,36.0,9.9,85.37,23.88
33,2610,0.54,17.1,15.2,1.0,2.4,8.6,23.3,0.1,92.68,11.18
21,2601,0.541,8.7,17.3,1.2,1.0,11.4,27.4,-0.5,100.0,6.62
31,2593,0.675,21.5,5.6,1.0,5.5,13.1,15.4,1.8,92.68,24.63
23,2588,0.569,9.1,6.9,1.5,2.1,5.9,18.1,-0.9,93.9,5.48
25,2581,0.556,11.0,14.6,1.2,1.2,9.6,24.7,-1.1,84.15,5.63
33,2579,0.59,6.8,28.8,1.3,0.6,11.4,28.4,2.1,89.02,24.36
29,2567,0.649,17.9,32.7,1.6,2.6,12.7,33.0,9.0,89.02,24.36
25,2565,0.601,12.2,6.7,0.8,1.8,7.5,20.7,0.1,98.78,18.45
25,2553,0.636,9.1,29.8,2.8,2.4,8.4,32.8,9.0,91.46,20.54
28,2513,0.679,6.6,12.1,1.3,1.6,11.3,14.5,1.3,91.46,4.6
39,2504,0.63,11.5,37.5,1.7,1.3,14.5,29.2,6.5,86.59,28.02
33,2502,0.613,8.8,16.1,2.2,1.3,10.1,26.6,3.2,90.24,22.67
30,1559,0.559,4.9,28.0,1.4,0.5,11.7,19.4,-1.8,62.2,7.61
30,927,0.535,6.0,28.0,0.9,0.9,15.0,21.8,-1.9,35.37,8.0
27,2484,0.588,5.3,27.6,1.3,1.3,11.8,23.0,0.9,92.68,10.19
34,2470,0.612,8.4,33.6,1.5,2.1,16.0,20.6,4.1,87.8,17.7
27,2447,0.611,7.1,31.2,1.2,1.0,10.6,29.8,3.0,82.93,18.58
25,2442,0.664,18.7,13.2,1.1,3.0,11.2,19.4,3.0,93.9,11.99
20,2424,0.571,13.6,7.1,1.0,2.3,8.9,17.6,-0.4,92.68,6.24
