Team,Team Payroll
PHO,"$193,838,882 "
MIN,"$166,434,327 "
BOS,"$186,940,921 "
LAL,"$169,876,920 "
NYK,"$164,990,518 "
DEN,"$180,922,992 "
MIL,"$187,346,674 "
MIA,"$177,143,542 "
DAL,"$167,755,884 "
LAC,"$201,366,679 "
WAS,"$150,856,313 "
NOP,"$167,403,924 "
PHI,"$166,271,894 "
TOR,"$163,054,678 "
GSW,"$209,354,737 "
ATL,"$159,153,393 "
IND,"$148,722,330 "
CHO,"$140,774,484 "
BRK,"$155,015,136 "
SAC,"$153,564,021 "
POR,"$165,263,993 "
OKC,"$162,515,272 "
MEM,"$162,649,524 "
CHI,"$165,630,436 "
CLE,"$166,874,287 "
HOU,"$149,356,730 "
SAS,"$142,867,770 "
UTA,"$133,738,448 "
ORL,"$132,643,598 "
DET,"$139,233,014 "
